Real Name,MCP Name,Real Superclass,MiddleCraft Superclass,Description
eb,EnumSkyBlock,java.lang.Enum,*,enum with sky and block
ec,ICrafting,java.lang.Object,*,*
ed,Packet51MapChunk,jv,*,*
ee,MaterialLiquid,la,*,*
ef,WorldGenLightStone2,java.lang.Object,*,*
eg,Packet50PreChunk,jv,*,*
eh,NetworkListenThread,java.lang.Object,*,*
ei,ThreadLoginVerifier,java.lang.Thread,*,Verify username/password at the minecraft.net website
ej,BlockStone,gv,*,*
ek,TileEntityFurnace,bg,*,Implement gh (inventory classe). Class inheritance is stronger than interface implementations for the naming scheme.
el,AxisAlignedBB,java.lang.Object,*,Axis aligned bounding box
em,BlockRedstoneWire,gv,*,*
en,EntityArrow,ep,*,Entity Arrow
eo,WorldGenDungeons,bt,*,Generates dungeons
ep,Entity,java.lang.Object,*,"Base class and manager for entities (everything that moves freely, like mobs, players, animals, ...)"
eq,MapGenCaves,fw,*,*
er,Packet23VehicleSpawn,jv,*,*
es,NBTTagList,ia,*,*
et,BlockStairs,gv,*,*
eu,Packet8,jv,*,Update Health
ev,MetadataChunkBlock,java.lang.Object,*,stores if blocks in a chunk are solid (ground) or air
ew,Packet13PlayerLookMove,hy,*,*
ex,ChunkCache,java.lang.Object,*,Caches a bunch of chunks of the world
ey,Packet31RelEntityMove,gj,*,*
ez,NBTTagDouble,ia,*,*
f,Packet101,jv,*,Close window
fa,ItemAxe,dq,*,*
fb,BlockFurnace,du,*,*
fc,IUpdatePlayerListBox,java.lang.Object,*,*
fd,BlockPumpkin,gv,*,*
fe,BlockObsidian,ej,*,*
ff,World,java.lang.Object,*,Manager class for the world (only used directly on the client for singleplayer)
fg,MobSpawnerSwamp,jq,*,*
fh,IMobs,java.lang.Object,*,Interface for mobs (empty interface)
fi,*,gq,*,*
fj,WorldManager,java.lang.Object,*,*
fk,BlockWorkbench,gv,*,*
fl,*,ix,*,*
fm,WorldServer,ff,*,Server world manager
fn,ICommandListener,java.lang.Object,*,*
fo,WorldGenMinable,bt,*,"Generates dirt, gravel, coal ore, iron ore, gold ore, redstone ore and diamond ore in underground"
fp,BlockJukeBox,gv,*,*
fq,FontAllowedCharacters,java.lang.Object,*,Reader for the font.txt file which defines legal characters for chat.
fr,BlockMushroom,ik,*,*
fs,NetHandler,java.lang.Object,*,Base class for network communication handling
ft,EntitySkeleton,gu,*,Mob skeleton
fu,MobSpawnerDesert,jq,*,*
fv,MCHashTable2,java.lang.Object,*,*
fw,MapGenBase,java.lang.Object,*,*
fx,Pathfinder,java.lang.Object,*,*
fy,ChunkLoader,java.lang.Object,*,Implementation of chunk loader
fz,WorldGenCactus,bt,*,*
g,ItemEgg,gm,*,*
ga,RecipesIngots,java.lang.Object,*,*
gb,ItemRecord,gm,*,*
gc,EntityBoat,ep,*,Boat
gd,Packet53BlockChange,jv,*,*
ge,EntityCreeper,gu,*,Mob creeper
gf,WorldGenLightStone1,java.lang.Object,*,*
gg,*,db,*,*
gh,NoiseGeneratorOctaves,db,*,Layers multiple perlin noise
gi,NetLoginHandler,fs,*,Server login handler (when clients connect)
gj,Packet30Entity,jv,*,*
gk,Packet28,jv,*,Entity Velocity
gl,BlockSand,gv,*,*
gm,Item,java.lang.Object,*,Base class and manager for item types
gn,Packet130,jv,*,Update Sign
go,BlockSign,du,*,Block used for standing signs and wall signs
gp,Slot,java.lang.Object,*,Inventory slot base class
gq,*,lc,*,*
gr,NBTTagShort,ia,*,*
gs,MinecraftException,java.lang.RuntimeException,*,*
gt,Packet15Place,jv,*,*
gu,*,hz,*,*
gv,Block,java.lang.Object,*,Base class and manager for block types
gw,RecipesTools,java.lang.Object,*,*
gx,EntitySlime,lc,*,Mob slime
gy,BlockBookshelf,gv,*,*
gz,WorldChunkManagerHell,java.lang.Object,*,*
h,Packet2Handshake,jv,*,*
ha,*,ik,*,*
hb,ConsoleLogManager,java.lang.Object,*,*
hc,Packet4UpdateTime,jv,*,*
hd,EntityZombie,gu,*,Mob zombie
he,CraftingManager,java.lang.Object,*,Allotment of recipes
hf,EntityItem,ep,*,Item (used for almost anything that can be dropped and collected)
hg,ServerGUI,javax.swing.JComponent,*,*
hh,ItemSign,gm,*,*
hi,NBTTagByteArray,ia,*,*
hj,ItemBoat,gm,*,*
hk,MovingObjectPosition,java.lang.Object,*,Looks like its actually a RayTraceHit
hl,ServerConfigurationManager,java.lang.Object,*,*
hm,BlockLog,gv,*,*
hn,Packet16BlockItemSwitch,jv,*,*
ho,Packet12PlayerLook,hy,*,*
hp,EntityTracker,java.lang.Object,*,*
hq,Packet103,jv,*,Set slot
hr,EntityTrackerEntry,java.lang.Object,*,*
hs,BlockSoil,gv,*,*
ht,ItemDoor,gm,*,*
hu,GuiLogFormatter,java.util.logging.Formatter,*,*
hv,BlockTorch,gv,*,*
hw,MinecartTrackLogic,java.lang.Object,*,Logic for minecart tracks (looks like it was inner class to minecarttrack)
hx,ItemRedstone,gm,*,*
hy,Packet10Flying,jv,*,*
hz,EntityCreature,lc,*,Base class for creatures (animals and mobs)
i,InventoryCrafting,java.lang.Object,*,*
ia,NBTBase,java.lang.Object,*,Base class of NBT tags
ib,WorldGenBigTree,bt,*,Grows big trees
ic,MathHelper,java.lang.Object,*,*
id,EntityEgg,ep,*,*
ie,EnumArt,java.lang.Object,*,enum of art types
if,WorldGenReed,bt,*,*
ig,CraftingInventoryWorkbenchCB,dw,*,"Callbacks for the workbench. Drop items on the ground when closed, check for recipies when changed."
ih,Packet100,jv,*,Open window
ii,InventoryPlayer,java.lang.Object,*,*
ij,ItemArmor,gm,*,Item type used for all kinds of armor
ik,BlockFlower,gv,*,*
il,ItemStack,java.lang.Object,*,"Deals with inventory item stacks, spawns new stacks etc."
im,*,dq,*,*
in,EntityList,java.lang.Object,*,*
io,Packet38,jv,*,Entity Status
ip,WorldProviderHell,jm,*,*
iq,ChunkPosition,java.lang.Object,*,*
ir,*,bf,*,*
is,NibbleArray,java.lang.Object,*,Used to store a nibble (4bit) array of data for things like light maps and chunk data.
it,InventoryCraftResult,java.lang.Object,*,*
iu,Packet24MobSpawn,jv,*,*
iv,HashEntry,java.lang.Object,*,A linked list element for the hash table
iw,ConsoleLogFormatter,java.util.logging.Formatter,*,*
ix,BlockBreakable,gv,*,Base class for glass and ice (not used directly)
iy,BlockGrass,gv,*,*
iz,EntityFlying,lc,*,EntityFlying
j,WorldGenClay,bt,*,*
ja,BlockSnow,gv,*,*
jb,TileEntityChest,bg,*,Implement gh (inventory classe). Class inheritance is stronger than interface implementations for the naming scheme.
jc,EntityFallingSand,ep,*,Sand falling from gravity
jd,Packet14BlockDig,jv,*,*
je,BlockFence,gv,*,*
jf,MCHashTable,java.lang.Object,*,*
jg,RecipesCrafting,java.lang.Object,*,*
jh,PlayerManager,java.lang.Object,*,Manages a list of all connected players
ji,EntityChicken,bf,*,Animal chicken
jj,Packet52MultiBlockChange,jv,*,*
jk,WorldGenPumpkin,bt,*,*
jl,Packet104,jv,*,Window items
jm,WorldProvider,java.lang.Object,*,*
jn,RecipesWeapons,java.lang.Object,*,*
jo,NBTTagString,ia,*,*
jp,BlockSponge,gv,*,*
jq,MobSpawnerBase,java.lang.Object,*,These are biomes not mob spawners (has info on the type of mobs to see in the biome though)
jr,NetworkMasterThread,java.lang.Thread,*,*
js,ThreadMonitorConnection,java.lang.Object,*,*
jt,NetworkReaderThread,java.lang.Thread,*,*
ju,NetworkWriterThread,java.lang.Thread,*,*
jv,Packet,java.lang.Object,*,Base class and manager for network packets
jw,WorldGenLiquids,bt,*,Generate water and lava
jx,IBlockAccess,java.lang.Object,*,Interface with methods to access (read) single blocks in the world or in caches
jy,BlockLever,gv,*,*
jz,WorldGenFire,java.lang.Object,*,*
k,BlockOre,gv,*,"Block used for gold, iron, diamond and coal"
ka,RedstoneUpdateInfo,java.lang.Object,*,*
kb,WorldChunkManager,java.lang.Object,*,*
kc,EntityPigZombie,hd,*,EntityZombiePigman
kd,RecipeSorter,java.lang.Object,*,*
ke,ChunkProviderLoadOrGenerate,java.lang.Object,*,Chunk provider which either loads chunks or generates them with ChunkProviderGenerate
kf,IProgressUpdate,java.lang.Object,*,*
kg,GuiStatsComponent,javax.swing.JComponent,*,*
kh,ItemFlintAndSteel,gm,*,*
ki,ChunkProviderGenerate,java.lang.Object,*,Chunk provider which generates new chunks (used by other chunk providers)
kj,ItemHoe,gm,*,*
kk,NetServerHandler,fs,*,Server network handler (in the game)
kl,*,bt,*,*
km,BlockBloodStone,gv,*,*
kn,BlockDoor,gv,*,Block used for wooden door and iron door
ko,Path,java.lang.Object,*,Maintains a sorted set of path points
kp,TileEntitySign,bg,*,*
kq,EntityMinecart,ep,*,Entity minecart
kr,NBTTagEnd,ia,*,*
ks,ChunkProviderServer,java.lang.Object,*,Chunk provider which manages chunks on the server for all clients
kt,ItemPainting,gm,*,*
ku,EnumCreatureType,java.lang.Enum,*,*
kv,BlockFire,gv,*,*
kw,ItemInWorldManager,java.lang.Object,*,*
kx,Chunk,java.lang.Object,*,Chunk of blocks in the world (16x16x128 blocks)
ky,Packet255KickDisconnect,jv,*,*
kz,BlockStep,gv,*,Block used for half step and double step
l,PlayerListBox,javax.swing.JList,*,*
la,Material,java.lang.Object,*,"Defines material properties for object, like if it can burn, ..."
lb,ChunkCoordinates,java.lang.Object,*,*
lc,EntityLiving,ep,*,"Base class for living beings (animals, mobs, players)"
ld,GuiStatsListener,java.lang.Object,*,*
le,ItemReed,gm,*,*
lf,MaterialTransparent,la,*,*
lg,IInventory,java.lang.Object,*,Interface for all kinds of inventories
lh,ItemFood,gm,*,Used for all food items and as a base for soup
li,SlotCrafting,gp,*,Inventory slot containing the crafting result.
lj,EntityFish,ep,*,*
lk,ChunkCoordIntPair,java.lang.Object,*,"Pair of integers used as index of chunk (x,z)."
ll,BlockLightStone,gv,*,*
lm,Packet0KeepAlive,jv,*,*
m,Packet105,jv,*,Update progress bar
n,BlockOreBlock,gv,*,"Block used for gold, diamond and iron blocks"
net.minecraft.server.MinecraftServer,*,java.lang.Object,*,*
o,Packet21PickupSpawn,jv,*,*
p,BlockGravel,gl,*,*
q,NBTTagFloat,ia,*,*
r,Packet5PlayerInventory,jv,*,*
s,BlockCrops,ik,*,*
t,BlockIce,ix,*,*
u,MobSpawnerHell,jq,*,*
v,Packet18ArmAnimation,jv,*,*
w,BlockLeavesBase,gv,*,Base class for leaves (not used directly). It seems to be separated out possibly as a base class for objects that change textures based on graphics settings (fancy/fast).
x,Packet39,jv,*,Attach Entity
y,RecipesArmor,java.lang.Object,*,*
z,EntityZombieSimple,gu,*,Mob Zombie (Simple)
