Real Name,Type,Parent Class,Readable Name,Description
d,(Lff;III)Lel;,bl,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,ba,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
h,()F,gx,getSoundVolume,Returns the volume for the sounds this mob makes.
d,(Lff;III)Lel;,aw,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
e,()Ljava/lang/String;,lc,getHurtSound,Returns the sound this mob makes when it is hurt.
d,(Lff;III)Lel;,ao,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,ai,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
h,()F,lc,getSoundVolume,Returns the volume for the sounds this mob makes.
h,()F,bp,getSoundVolume,Returns the volume for the sounds this mob makes.
h,()F,bk,getSoundVolume,Returns the volume for the sounds this mob makes.
e,()Ljava/lang/String;,ji,getHurtSound,Returns the sound this mob makes when it is hurt.
e,()Ljava/lang/String;,kc,getHurtSound,Returns the sound this mob makes when it is hurt.
e,()Ljava/lang/String;,gx,getHurtSound,Returns the sound this mob makes when it is hurt.
e,()Ljava/lang/String;,ir,getHurtSound,Returns the sound this mob makes when it is hurt.
e,()Ljava/lang/String;,hd,getHurtSound,Returns the sound this mob makes when it is hurt.
e,()Ljava/lang/String;,ge,getHurtSound,Returns the sound this mob makes when it is hurt.
e,()Ljava/lang/String;,ch,getHurtSound,Returns the sound this mob makes when it is hurt.
e,()Ljava/lang/String;,ft,getHurtSound,Returns the sound this mob makes when it is hurt.
e,()Ljava/lang/String;,dh,getHurtSound,Returns the sound this mob makes when it is hurt.
e,()Ljava/lang/String;,bp,getHurtSound,Returns the sound this mob makes when it is hurt.
b,(DDD)Lel;,el,expands,"Returns a bounding box expanded by the specified vector (if negative numbers are given it will shrink). Args: x, y, z"
e,()Ljava/lang/String;,bk,getHurtSound,Returns the sound this mob makes when it is hurt.
a,(DDD)V,ep,setPosition,"Sets the x,y,z of the entity from the given parameters. Also seems to set up a bounding box."
b,()Ljavax/swing/JComponent;,hg,getPlayerListComponent,Returns a new JScrollPane with a new PlayerListBox inside.
a,(Lnet/minecraft/server/MinecraftServer;)V,hg,initGui,Initialises the GUI components.
d,()Ljavax/swing/JComponent;,hg,getLogComponent,Returns a new JPanel with a new GuiStatsComponent inside.
a,(Lhg;)Lnet/minecraft/server/MinecraftServer;,hg,getMinecraftServer,Returns the MinecraftServer associated with the ServerGui.
a,()Ljavax/swing/JComponent;,hg,getStatsComponent,Returns a new JPanel with a new GuiStatsComponent inside.
a,(Ljava/lang/String;B)V,ad,setByte,Stores a new NBTTagByte with the given byte value into the map with the given string key.
b,(Ljava/lang/String;)B,ad,getByte,"Retrieves a byte value using the specified key, or 0 if no such key was stored."
k,(Ljava/lang/String;)Les;,ad,getTagList,"Retrieves a NBTTagList subtag matching the specified key, or a new empty NBTTagList if no such key was stored."
e,()V,hl,readBannedPlayers,Reads the banned players file from disk.
c,(Ljava/lang/String;)S,ad,getShort,"Retrieves a short value using the specified key, or 0 if no such key was stored."
a,(Ljava/lang/String;I)V,ad,setInteger,Stores a new NBTTagInt with the given integer value into the map with the given string key.
e,(Ljava/lang/String;)J,ad,getLong,"Retrieves a long value using the specified key, or 0 if no such key was stored."
a,(Ljava/lang/String;Ljava/lang/String;)V,ad,setString,Stores a new NBTTagString with the given string value into the map with the given string key.
a,(Lff;IIILep;Lbn;)V,et,velocityToAddToEntity,"Can add to the passed in vector for a movement vector to be applied to the entity. Args: x, y, z, entity, vec3d"
h,(Ljava/lang/String;)Ljava/lang/String;,ad,getString,"Retrieves a string value using the specified key, or an empty string if no such key was stored."
i,(Ljava/lang/String;)[B,ad,getByteArray,"Retrieves a byte array using the specified key, or a zero-length array if no such key was stored."
a,(Lff;IIILep;Lbn;)V,gv,velocityToAddToEntity,"Can add to the passed in vector for a movement vector to be applied to the entity. Args: x, y, z, entity, vec3d"
a,(Lff;IIILep;Lbn;)V,dn,velocityToAddToEntity,"Can add to the passed in vector for a movement vector to be applied to the entity. Args: x, y, z, entity, vec3d"
d,(Lff;IIII)Z,jy,isIndirectlyPoweringTo,Is this block indirectly powering the block on the specified side
a,(Z)V,gv,setTickOnLoad,Sets whether this block type will tick on loading the block or not
b,(F)Lgv;,gv,setResistance,Sets the the blocks resistance to explosions. Returns the object for convenience in constructing.
c,(Lbn;)Z,gv,isVecInsideXYBounds,Checks if a vector is within the X and Y bounds of the block.
c,(F)Lgv;,gv,setHardness,Sets how many hits it takes to break a block.
d,(Lff;IIII)Z,gv,isIndirectlyPoweringTo,Is this block indirectly powering the block on the specified side
d,(Lff;IIII)Z,cu,isIndirectlyPoweringTo,Is this block indirectly powering the block on the specified side
d,(Lff;IIII)Z,em,isIndirectlyPoweringTo,Is this block indirectly powering the block on the specified side
d,(Lff;IIII)Z,aw,isIndirectlyPoweringTo,Is this block indirectly powering the block on the specified side
d,(Lff;IIII)Z,bo,isIndirectlyPoweringTo,Is this block indirectly powering the block on the specified side
b,(Ljx;IIII)Z,jy,isPoweringTo,Is this block powering the block on the specified side
b,(Ljx;IIII)Z,cu,isPoweringTo,Is this block powering the block on the specified side
b,(Ljx;IIII)Z,gv,isPoweringTo,Is this block powering the block on the specified side
b,(D)I,ic,floor_double,Returns the greatest integer less than or equal to the double argument
b,(Ljx;IIII)Z,em,isPoweringTo,Is this block powering the block on the specified side
b,(Ljx;IIII)Z,bo,isPoweringTo,Is this block powering the block on the specified side
a,(D)F,ic,sqrt_double,*
b,(Ljx;IIII)Z,aw,isPoweringTo,Is this block powering the block on the specified side
a,(Lff;IIIIF)V,gv,dropBlockAsItemWithChance,Drops the block items with a specified chance of dropping the specified items
a,(Lff;IIIIF)V,et,dropBlockAsItemWithChance,Drops the block items with a specified chance of dropping the specified items
a,(Lff;IIIIF)V,fp,dropBlockAsItemWithChance,Drops the block items with a specified chance of dropping the specified items
a,(Ljava/lang/String;Ljava/lang/String;)V,hl,sendChatMessageToPlayer,sends a chat message to the player with the name specified (not necessarily a whisper)
i,(Ljava/lang/String;)V,hl,sendChatMessageToAllPlayers,sends a chat message to all players currently connected
b,(Ljv;)V,kk,sendPacket,Adds the packet to the underlying network manager's send queue.
b,()Ljava/lang/String;,gi,getUserAndIPString,Returns the user name (if any) and the remote address as a string.
c,()Ljava/lang/String;,hl,getPlayerList,returns a string containing a comma-seperated list of player names
a,(Lgi;Laj;)Laj;,gi,setLoginPacket,Sets and returns the login packet provided.
a,(Lgi;)Ljava/lang/String;,gi,getServerId,Returns the server Id randomly generated by this login handler.
a,()V,gi,tryLogin,"Logs the user in if a login packet is found, otherwise keeps processing network packets unless the timeout has occurred."
a,(Lgj;)V,fs,handleEntity,*
d,()Z,kv,isCollidable,"Returns if this block is collidable (only used by Fire). Args: x, y, z"
d,()Z,gv,isCollidable,"Returns if this block is collidable (only used by Fire). Args: x, y, z"
d,()Z,et,isCollidable,"Returns if this block is collidable (only used by Fire). Args: x, y, z"
a,(I)I,gy,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
c,(Lep;)V,fm,releaseEntitySkin,*
c,(Lep;)V,ff,releaseEntitySkin,*
c_,()Z,lc,canBeCollidedWith,*
f,(III)Z,ff,blockExists,*
a,(I)I,kz,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,gv,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,hm,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,fk,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,fp,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,fd,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,et,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,fb,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,ba,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,dn,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,n,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,c,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
a,(I)I,ah,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side
c_,()Z,kq,canBeCollidedWith,*
c_,()Z,gc,canBeCollidedWith,*
c_,()Z,jc,canBeCollidedWith,*
c_,()Z,cx,canBeCollidedWith,*
c_,()Z,ep,canBeCollidedWith,*
c_,()Z,ct,canBeCollidedWith,*
c_,()Z,ca,canBeCollidedWith,*
a,(IZ)Z,gv,canCollideCheck,"Returns whether this block is collideable based on the arguments passed in Args: blockMetaData, unknownFlag"
a,(IZ)Z,et,canCollideCheck,"Returns whether this block is collideable based on the arguments passed in Args: blockMetaData, unknownFlag"
a,(IZ)Z,dn,canCollideCheck,"Returns whether this block is collideable based on the arguments passed in Args: blockMetaData, unknownFlag"
b,(Lff;III)V,gv,onBlockRemoval,Called whenever the block is removed.
b,(Lff;III)V,jy,onBlockRemoval,Called whenever the block is removed.
b,(Lff;III)V,jp,onBlockRemoval,Called whenever the block is removed.
b,(Lff;III)V,hm,onBlockRemoval,Called whenever the block is removed.
b,(Lff;III)V,du,onBlockRemoval,Called whenever the block is removed.
b,(Lff;III)V,et,onBlockRemoval,Called whenever the block is removed.
b,(Lff;III)V,em,onBlockRemoval,Called whenever the block is removed.
b,(Lff;III)V,cu,onBlockRemoval,Called whenever the block is removed.
b,(Lff;III)V,t,onBlockRemoval,Called whenever the block is removed.
b,(Lff;III)V,bo,onBlockRemoval,Called whenever the block is removed.
b,(Lff;III)V,c,onBlockRemoval,Called whenever the block is removed.
v,()Z,gc,canBePushed,*
b,(Lff;III)V,aw,onBlockRemoval,Called whenever the block is removed.
b,(Lff;IIILep;)V,et,onEntityWalking,"Called whenever an entity is walking on top of this block. Args: world, x, y, z, entity"
v,()Z,lc,canBePushed,*
v,()Z,kq,canBePushed,*
b,(I)V,hf,dealFireDamage,Will deal the specified amount of damage to the entity if the entity isn't immune to fire damage. Args: amountDamage
v,()Z,ep,canBePushed,*
b,(I)V,ep,dealFireDamage,Will deal the specified amount of damage to the entity if the entity isn't immune to fire damage. Args: amountDamage
d,()Lgm;,gm,setFull3D,Sets bFull3D to True and return the object.
b,(Lff;IIILep;)V,hs,onEntityWalking,"Called whenever an entity is walking on top of this block. Args: world, x, y, z, entity"
b,(Lff;IIILep;)V,gv,onEntityWalking,"Called whenever an entity is walking on top of this block. Args: world, x, y, z, entity"
b,(Lff;IIILep;)V,bm,onEntityWalking,"Called whenever an entity is walking on top of this block. Args: world, x, y, z, entity"
a,(Lep;I)Z,lc,attackEntity,Called when the entity is attacked.
b,(Lff;IIILep;)V,bi,onEntityWalking,"Called whenever an entity is walking on top of this block. Args: world, x, y, z, entity"
a,(Lep;I)Z,kq,attackEntity,Called when the entity is attacked.
a,(Lep;I)Z,hf,attackEntity,Called when the entity is attacked.
a,(Lep;I)Z,kc,attackEntity,Called when the entity is attacked.
a,(Lep;I)Z,dh,attackEntity,Called when the entity is attacked.
a,(Lep;I)Z,gu,attackEntity,Called when the entity is attacked.
a,(Lep;I)Z,gq,attackEntity,Called when the entity is attacked.
a,(Lep;I)Z,gc,attackEntity,Called when the entity is attacked.
a,(Lep;I)Z,fi,attackEntity,Called when the entity is attacked.
a,(Lep;I)Z,ep,attackEntity,Called when the entity is attacked.
a,(Lep;I)Z,ct,attackEntity,Called when the entity is attacked.
a,(Lep;I)Z,ca,attackEntity,Called when the entity is attacked.
c,()V,bs,serverShutdown,Server-only method to shut down the network.
a,(DZ)V,fi,updateFallState,"Takes in the distance the entity has fallen this tick and whether its on the ground to update the fall distance and deal fall damage if landing on the ground.  Args: distanceFallenThisTick, onGround"
a,(DZ)V,ep,updateFallState,"Takes in the distance the entity has fallen this tick and whether its on the ground to update the fall distance and deal fall damage if landing on the ground.  Args: distanceFallenThisTick, onGround"
d,(DDD)D,bn,squareDistanceTo,"The square of the Euclidean distance between this and the vector of x,y,z components passed in."
b,()Lbn;,bn,normalize,Normalizes the vector to a length of 1 (except if it is the zero vector)
a,(Ljava/lang/String;[Ljava/lang/Object;)V,bs,networkShutdown,"Shuts down the network with the specified reason. Closes all streams and sockets, spawns NetworkMasterThread to stop reading and writing threads."
a,(Lfs;)V,bs,setNetHandler,Sets the NetHandler for this NetworkManager. Server-only.
c,(Lbs;)V,bs,readNetworkPacket,Static accessor to readPacket.
a,(Ljava/lang/Exception;)V,bs,onNetworkError,Used to report network errors and causes a network shutdown.
e,(DDD)Lbn;,bn,setComponents,"Sets the x,y,z components of the vector as specified."
c,(DDD)Lbn;,bn,addVector,"Adds the specified x,y,z vector components to this vector and returns the resulting vector. Does not change this vector."
b,()Ljava/net/SocketAddress;,bs,getRemoteAddress,Returns the socket address of the remote side. Server-only.
h,()V,ek,smeltItem,Turn one item from the furnace source stack into the appropriate smelted item in the furnace result stack
a,(IIF)Lhf;,ep,dropItemWithOffset,"Drops an item stack with a specified y offset. Args: itemID, count, yOffset"
a,(Lfm;)V,hl,setPlayerManager,Sets the NBT manager to the one for the worldserver given
d,(III)Lbg;,kx,getChunkBlockTileEntity,Gets the TileEntity for a given block in this chunk
e,()V,kx,onChunkUnload,*
a,(Leb;IIII)V,kx,setLightValue,"Sets the light value at the coordinate. If enumskyblock is set to sky it sets it in the skylightmap and if its a block then into the blocklightmap. Args enumSkyBlock, x, y, z, lightValue"
a,(Lep;)V,kx,addEntity,Adds an entity to the chunk. Args: entity
b,(II)I,kx,getHeightValue,"Returns the value in the height map at this x, z coordinate in the chunk"
f,()V,kx,setChunkModified,*
a,()I,bh,getPacketSize,Abstract. Return the size of the packet (not counting the header).
a,()I,a,getPacketSize,Abstract. Return the size of the packet (not counting the header).
a,()I,br,getPacketSize,Abstract. Return the size of the packet (not counting the header).
a,()I,ay,getPacketSize,Abstract. Return the size of the packet (not counting the header).
a,()I,ak,getPacketSize,Abstract. Return the size of the packet (not counting the header).
a,()I,aj,getPacketSize,Abstract. Return the size of the packet (not counting the header).
a,(Ljava/io/DataInputStream;)V,lm,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,ky,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,jd,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,jv,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,jl,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,jj,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,iu,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,io,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,ih,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,hy,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,ho,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,hq,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,hn,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,hc,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,gk,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,gt,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,gn,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,gj,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,ey,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,gd,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,ew,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,eg,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,eu,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,er,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,ed,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,ea,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,dv,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,de,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,dl,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,dd,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,da,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,r,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,x,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,v,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,cs,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,o,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,f,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,cc,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,m,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,h,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,d,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,br,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,bh,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,a,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,ay,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,ak,readPacketData,Abstract. Reads the raw packet data from the data stream.
a,(Ljava/io/DataInputStream;)V,aj,readPacketData,Abstract. Reads the raw packet data from the data stream.
c,()I,gm,getMaxDamage,Returns the maximum damage an item can take.
a,(Lil;IIII)V,gm,hitBlock,Current implementations of this method in child classes do not use the entry argument beside ev. They just raise the damage on the stack.
a,(Lil;IIII)V,dq,hitBlock,Current implementations of this method in child classes do not use the entry argument beside ev. They just raise the damage on the stack.
f,(Lep;)V,gq,onDeath,Called when the mob's health reaches 0.
a,(Lil;IIII)V,ce,hitBlock,Current implementations of this method in child classes do not use the entry argument beside ev. They just raise the damage on the stack.
f,(Lep;)V,lc,onDeath,Called when the mob's health reaches 0.
f,(Lep;)V,fi,onDeath,Called when the mob's health reaches 0.
f,(Lep;)V,ge,onDeath,Called when the mob's health reaches 0.
a,(Lil;Lgv;)F,gm,getStrVsBlock,"Returns the strength of the stack against a given block. 1.0F base, (Quality+1)*2 if correct blocktype, 1.5F if sword"
a,(Lil;Lgv;)F,dq,getStrVsBlock,"Returns the strength of the stack against a given block. 1.0F base, (Quality+1)*2 if correct blocktype, 1.5F if sword"
a,(Lil;Lgv;)F,ce,getStrVsBlock,"Returns the strength of the stack against a given block. 1.0F base, (Quality+1)*2 if correct blocktype, 1.5F if sword"
a,(Lil;Lgq;Lff;IIII)Z,kt,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
a,(Lil;Lgq;Lff;IIII)Z,le,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
a,(Lil;Lgq;Lff;IIII)Z,kj,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
a,(Lil;Lgq;Lff;IIII)Z,hx,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
a,(Lil;Lgq;Lff;IIII)Z,kh,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
a,(Lil;Lgq;Lff;IIII)Z,ht,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
a,(Lil;Lgq;Lff;IIII)Z,gm,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
a,(Lil;Lgq;Lff;IIII)Z,gb,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
a,(Lil;Lgq;Lff;IIII)Z,hh,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
a,(Lil;Lgq;Lff;IIII)Z,dk,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
a,(Lil;Lgq;Lff;IIII)Z,di,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
a,(Lil;Lgq;Lff;IIII)Z,cf,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
f,(Lep;)V,ff,updateEntity,*
a,(Ljava/lang/String;III)V,ff,playRecord,"Plays a record at the specified coordinates of the specified name. Args: recordName, x, y, z"
b,()I,il,getMaxStackSize,Returns maximum size of the stack.
b,(I)V,il,damageItem,"Raise the damage on the item by the argument. If the dmg is superior to health, destroy one element of the stack."
d,()Lil;,il,copy,Returns a new stack with the same properties.
b,(Lad;)V,il,readFromNBT,Read the stack fields from a NBT object.
a,(Lgv;)F,il,getStrVsBlock,Returns the strength of the stack against a given block.
a,(Lgq;Lff;IIII)Z,il,useItem,"Uses the item stack by the player. Gives the coordinates of the block its being used against and the side. Args: player, world, x, y, z, side"
b,(Lgv;)Z,il,canHarvestBlock,*
a,()I,lg,getSizeInventory,*
c,()I,il,getMaxDamage,Returns the max damage an item in the stack can take.
a,(Lad;)Lad;,il,writeToNBT,Write the stack fields to a NBT object. Return the new NBT object.
b,(F)F,ff,getCelestialAngle,*
o,(III)Z,ff,isBlockIndirectlyGettingPowered,"Used to see if one of the blocks next to you or your block is getting power from a neighboring block. Used by items like TNT or Doors so they don't have redstone going straight into them.  Args: x, y, z"
a,(Lep;D)Lgq;,ff,getClosestPlayerToEntity,"Gets the closest player to the entity within the specified distance (if distance is less than 0 then ignored). Args: entity, dist"
a,(IIILbg;)V,ff,setBlockTileEntity,"Sets the TileEntity for a given block in X, Y, Z coordinates"
j,(III)Z,ff,canExistingBlockSeeTheSky,"Determines if a block can see the sky or not, but if the proper chunk does not already exist, it does not create a new one."
a,()I,av,getSizeInventory,*
a,(IIIII)Z,ff,setBlockAndMetadata,*
a,()I,kq,getSizeInventory,*
a,()I,jb,getSizeInventory,*
a,()I,it,getSizeInventory,*
a,()I,ii,getSizeInventory,*
a,()I,ek,getSizeInventory,*
