NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
Class,Field,Name,Class,Field,Name,Name,Notes
TileEntityFurnace,*,field_835_c,*,*,*,currentItemBurnTime,"The number of ticks that a fresh copy of the currently-burning item would keep the furnace burning for"
TileEntityFurnace,*,field_834_d,*,*,*,furnaceCookTime,"The number of ticks that the current item has been cooking for"
InventoryLargeChest,*,field_837_a,*,*,*,name,"Name of the chest."
InventoryLargeChest,*,field_836_b,*,*,*,upperChest,"Inventory object corresponding to double chest upper part"
MovingObjectPosition,*,field_1169_f,*,*,*,hitVec,"The vector position of the hit"
MovingObjectPosition,*,field_1168_g,*,*,*,entityHit,"The hit entity"
MovingObjectPosition,*,field_1167_a,*,*,*,typeOfHit,"What type of ray trace hit was this? 0 = block, 1 = entity"
MovingObjectPosition,*,field_1166_b,*,*,*,blockX,"x coordinate of the block ray traced against"
ScreenShotHelper,*,field_4289_c,*,*,*,pixelData,"*"
ScreenShotHelper,*,field_4288_d,*,*,*,imageData,"*"
ScreenShotHelper,*,field_4287_a,*,*,*,dateFormat,"*"
ScreenShotHelper,*,field_4286_b,*,*,*,buffer,"*"
RenderEngine,*,field_4281_i,*,*,*,clampTexture,"Flag set when a texture should not be repeated"
RenderEngine,*,field_4280_j,*,*,*,blurTexture,"Flag set when a texture should use blurry resizing"
ThreadDownloadResources,*,field_1769_c,*,*,*,closing,"Set to true when Minecraft is closing down."
ThreadDownloadResources,*,field_1768_a,*,*,*,resourcesFolder,"The folder to store the resources in."
WorldRenderer,*,field_1763_a,*,*,*,worldObj,"Reference to the World object."
WorldRenderer,*,field_1762_b,*,*,*,chunksUpdated,""
WorldRenderer,*,field_1761_c,*,*,*,posX,""
WorldRenderer,*,field_1760_d,*,*,*,posY,""
ThreadDownloadResources,*,field_1767_b,*,*,*,mc,"A reference to the Minecraft object."
PathEntity,*,field_1766_c,*,*,*,pathIndex,"The index of the current point in the path"
PathEntity,*,field_1765_a,*,*,*,pathLength,"The total length of the path"
PathEntity,*,field_1764_b,*,*,*,points,"The actual points in the path"
Timer,*,field_1380_a,*,*,*,ticksPerSecond,"The number of timer ticks per second of real time"
EntityRenderer,*,field_1383_m,*,*,*,random,""
EntityRenderer,*,field_1387_i,*,*,*,farPlaneDistance,""
EntityRenderer,*,field_1388_h,*,*,*,mc,"A reference to the Minecraft object."
RedstoneUpdateInfo,*,field_1011_c,*,*,*,z,"*"
RedstoneUpdateInfo,*,field_1010_d,*,*,*,updateTime,"*"
TileEntityRenderer,*,field_1541_n,*,*,*,fontRenderer,"The FontRenderer instance used by the TileEntityRenderer"
TileEntityRenderer,*,field_1547_h,*,*,*,playerYaw,"The player's yaw in this rendering context"
TileEntityRenderer,*,field_1546_i,*,*,*,playerPitch,"The player's pitch in this rendering context"
World,*,field_1017_H,*,*,*,chunkProvider,"Handles chunk operations and caching"
World,*,field_1016_I,*,*,*,nbtCompoundPlayer,"Reference to the player object as NBT compound"
Block,*,field_4069_aI,*,*,*,stairCompactCobblestone,"*"
Block,*,field_4068_aJ,*,*,*,signWall,"*"
Tessellator,*,field_1499_n,*,*,*,hasNormals,"Whether the current draw object for this tessellator has normal values."
Tessellator,*,field_1498_o,*,*,*,rawBufferIndex,"The index into the raw buffer to be used for the next data."
Tessellator,*,field_1495_q,*,*,*,isColorDisabled,"Disables all color information for the following draw call."
Tessellator,*,field_1494_B,*,*,*,bufferSize,"The size of the buffers used (in integers)."
Tessellator,*,field_1497_p,*,*,*,addedVertices,"The number of vertices manually added to the given draw call. This differs from vertexCount because it adds extra vertices when converting quads to triangles."
Tessellator,*,field_1496_A,*,*,*,vboCount,"Number of vertex buffer objects allocated for use."
Tessellator,*,field_1491_t,*,*,*,yOffset,"An offset to be applied along the y-axis for all vertices in this draw call."
Tessellator,*,field_1490_u,*,*,*,zOffset,"An offset to be applied along the z-axis for all vertices in this draw call."
Tessellator,*,field_1493_r,*,*,*,drawMode,"The draw mode currently being used by the tessellator."
Tessellator,*,field_1492_s,*,*,*,xOffset,"An offset to be applied along the x-axis for all vertices in this draw call."
EntityChicken,*,field_754_i,*,*,*,timeUntilNextEgg,"The time until the next egg is spawned."
EntityCreature,*,field_750_g,*,*,*,hasAttacked,"returns true if a creature has attacked recently only used for creepers and skeletons"
EntityCreature,*,field_751_f,*,*,*,playerToAttack,"The Player this EntityCreature will attack next."
EntityPig,*,field_759_a,*,*,*,rideable,"Set to true if this pig has a saddle, false otherwise."
Packet14BlockDig,*,field_545_c,*,*,*,zPosition,"Block Z position."
Packet14BlockDig,*,field_544_d,*,*,*,face,"Punched face of the block."
Packet24MobSpawn,*,field_547_a,*,*,*,entityId,"The entity ID."
Packet24MobSpawn,*,field_546_b,*,*,*,type,"The type of mob."
Block,*,field_358_bl,*,*,*,stepSound,"Sound of stepping on the block"
Block,*,field_354_e,*,*,*,soundPowderFootstep,"*"
Block,*,field_355_bo,*,*,*,slipperiness,"Determines how much velocity is maintained while moving on top of this block"
Block,*,field_356_bn,*,*,*,blockMaterial,"Block material definition."
EntityArrow,*,field_688_a,*,*,*,arrowShake,"Seems to be some sort of timer for animating an arrow."
EntityTNTPrimed,*,field_689_a,*,*,*,fuse,"How long the fuse is"
EntityFish,*,field_6380_t,*,*,*,velocityZ,"*"
EntityFish,*,field_6381_s,*,*,*,velocityY,"*"
EntityFish,*,field_6382_r,*,*,*,velocityX,"*"
Packet20NamedEntitySpawn,*,field_538_e,*,*,*,zPosition,"The player's Z position."
Packet20NamedEntitySpawn,*,field_539_d,*,*,*,yPosition,"The player's Y position."
GuiSlider,*,field_944_i,*,*,*,sliderValue,"The value of this slider control."
Packet20NamedEntitySpawn,*,field_534_a,*,*,*,entityId,"The entity ID, in this case it's the player ID."
Packet20NamedEntitySpawn,*,field_535_h,*,*,*,currentItem,"The current item the player is holding."
Packet20NamedEntitySpawn,*,field_536_g,*,*,*,pitch,"The player's pitch."
Packet20NamedEntitySpawn,*,field_537_f,*,*,*,rotation,"The player's rotation."
Packet21PickupSpawn,*,field_530_b,*,*,*,xPosition,"The item X position."
Packet21PickupSpawn,*,field_531_a,*,*,*,entityId,"Unique entity ID."
Packet2Handshake,*,field_532_a,*,*,*,username,"The username of the player attempting to connect."
Packet20NamedEntitySpawn,*,field_533_b,*,*,*,name,"The player's name."
GuiSlider,*,field_942_l,*,*,*,idFloat,"Additional ID for this slider control."
Item,*,field_220_p,*,*,*,swordWood,"*"
Item,*,field_221_o,*,*,*,swordSteel,"*"
Item,*,field_222_n,*,*,*,ingotGold,"*"
Item,*,field_223_m,*,*,*,ingotIron,"*"
Item,*,field_224_l,*,*,*,diamond,"*"
Item,*,field_225_k,*,*,*,coal,"*"
Item,*,field_226_j,*,*,*,arrow,"*"
Item,*,field_227_i,*,*,*,bow,"*"
Item,*,field_228_h,*,*,*,appleRed,"*"
TileEntityMobSpawner,*,field_828_b,*,*,*,entityID,""
TileEntityMobSpawner,*,field_829_a,*,*,*,delay,"The stored delay before a new spawn."
GuiMainMenu,*,field_6463_h,*,*,*,rand,"The RNG used by the Main Menu Screen."
TileEntity,*,field_822_g,*,*,*,yCoord,"The y coordinate of the tile entity."
TileEntity,*,field_823_f,*,*,*,xCoord,"The x coordinate of the tile entity."
TileEntity,*,field_820_a,*,*,*,nameToClassMap,"A HashMap storing string names of classes mapping to the actual java.lang.Class type."
TileEntity,*,field_821_h,*,*,*,zCoord,"The z coordinate of the tile entity."
TileEntitySign,*,field_826_a,*,*,*,signText,"An array of four strings storing the lines of text on the sign."
TileEntityChest,*,field_827_a,*,*,*,chestContents,"*"
TileEntity,*,field_824_e,*,*,*,worldObj,"The reference to the world."
TileEntitySign,*,field_825_b,*,*,*,lineBeingEdited,"The index of the line currently being edited. Only used on client side, but defined on both. Note this is only really used when the > < are going to be visible."
GuiMainMenu,*,field_6462_l,*,*,*,splashText,"The splash message."
CraftingInventoryWorkbenchCB,*,field_1622_a,*,*,*,craftMatrix,"The crafting matrix inventory (3x3)."
CraftingInventoryPlayerCB,*,field_1620_a,*,*,*,craftMatrix,"The crafting matrix inventory."
CraftingInventoryWorkbenchCB,*,field_1621_b,*,*,*,craftResult,"The crafting result, size 1."
TextureWaterFX,*,field_1154_k,*,*,*,tickCounter,"*"
MinecartTrackLogic,*,field_1159_b,*,*,*,worldObj,"Reference to the World object."
EnumCreatureType,*,field_4277_d,*,*,*,maxNumberOfEntityType,"For animals/mobs, the maximum number of mobs of that type that will spawn."
PathPoint,*,field_1718_a,*,*,*,xCoord,"The x coordinate of this point"
PathPoint,*,field_1716_c,*,*,*,zCoord,"The z coordinate of this point"
PathPoint,*,field_1717_b,*,*,*,yCoord,"The y coordinate of this point"
PathPoint,*,field_1714_e,*,*,*,index,"The index of this point in its assigned path"
PathPoint,*,field_1715_d,*,*,*,hash,"A hash of the coordinates used to identify this point"
PathPoint,*,field_1712_g,*,*,*,distanceToNext,"The linear distance to the next point"
PathPoint,*,field_1713_f,*,*,*,totalPathDistance,"The distance along the path to this point"
PathPoint,*,field_1710_i,*,*,*,previous,"The point preceding this in its assigned path"
PathPoint,*,field_1711_h,*,*,*,distanceToTarget,"The distance to the target"
Chunk,*,field_1536_e,*,*,*,data,"Chunk data"
Item,*,field_4017_ap,*,*,*,porkCooked,"*"
Chunk,*,field_1534_g,*,*,*,blocklightMap,"Light map for blocks. See class le (client) or eo (server)."
Item,*,field_4015_b,*,*,*,itemRand,"The RNG used by the Item subclasses."
Chunk,*,field_1533_h,*,*,*,heightMap,"Byte array containing height map for the chunk."
Chunk,*,field_1530_k,*,*,*,zPosition,"The z coordinate of the chunk."
Chunk,*,field_1531_j,*,*,*,xPosition,"The x coordinate of the chunk."
World,*,field_1029_v,*,*,*,sizeOnDisk,"Size of the world on the harddisk"
Item,*,field_4018_aZ,*,*,*,iconIndex,"Icon index in the icons table."
Item,*,field_4019_aV,*,*,*,recordCat,"*"
RenderGlobal,*,field_1448_k,*,*,*,worldObj,"A reference to the World object."
RenderGlobal,*,field_1441_r,*,*,*,renderChunksDeep,""
RenderGlobal,*,field_1447_l,*,*,*,renderEngine,"The RenderEngine instance used by RenderGlobal"
RenderGlobal,*,field_1444_o,*,*,*,worldRenderers,"*"
EnumOS2,*,field_6512_e,*,*,*,unknown,"*"
ItemPickaxe,*,field_329_aX,*,*,*,blocksEffectiveAgainst,"*"
ItemTool,*,field_325_aX,*,*,*,blocksEffectiveAgainst,"Array of blocks the tool has extra effect against."
ItemTool,*,field_324_aY,*,*,*,efficiencyOnProperMaterial,"*"
ItemAxe,*,field_327_aX,*,*,*,blocksEffectiveAgainst,"*"
ItemSpade,*,field_326_aX,*,*,*,blocksEffectiveAgainst,"*"
ItemTool,*,field_323_aZ,*,*,*,damageVsEntity,"*"
ItemTool,*,field_322_a,*,*,*,ingredientQuality,"*"
EntityPlayerSP,*,field_788_bg,*,*,*,mc,"*"
EntityPlayerSP,*,field_787_a,*,*,*,movementInput,"*"
EntityPlayer,*,field_781_a,*,*,*,damageRemainder,""
Item,*,field_255_H,*,*,*,axeGold,"*"
Item,*,field_254_ay,*,*,*,saddle,"*"
Item,*,field_257_G,*,*,*,pickaxeGold,"*"
Item,*,field_256_ax,*,*,*,minecartEmpty,"*"
Item,*,field_251_J,*,*,*,feather,"*"
Item,*,field_250_K,*,*,*,gunpowder,"*"
Item,*,field_253_I,*,*,*,silk,"*"
Item,*,field_252_az,*,*,*,doorSteel,"*"
Item,*,field_259_F,*,*,*,shovelGold,"*"
Item,*,field_258_aw,*,*,*,bucketLava,"*"
TileEntity,*,field_819_b,*,*,*,classToNameMap,"A HashMap storing the classes and mapping to the string names (reverse of nameToClassMap)."
InventoryCraftResult,*,field_818_a,*,*,*,stackResult,"A list of one item containing the result of the crafting formula"
WorldGenLiquids,*,field_4157_a,*,*,*,liquidBlockId,"The ID of the liquid block used in this liquid generator."
Material,*,field_4261_w,*,*,*,pumpkin,"pumpkin"
Material,*,field_4260_x,*,*,*,portal,"*"
Material,*,field_4263_o,*,*,*,glass,"*"
Material,*,field_4262_q,*,*,*,unused,"*"
Material,*,field_4265_h,*,*,*,leaves,"*"
Material,*,field_4264_k,*,*,*,cloth,"*"
Item,*,field_4016_av,*,*,*,bucketWater,"*"
Chunk,*,field_1537_d,*,*,*,worldObj,"Reference to the World object."
Item,*,field_4014_g,*,*,*,flintAndSteel,"*"
BlockStairs,*,field_452_a,*,*,*,modelBlock,"The block that is used as model for the stair."
Chunk,*,field_1535_f,*,*,*,skylightMap,"Light map for sky. See class le (client) or eo (server)."
PathPoint,*,field_1709_j,*,*,*,isFirst,"Indicates this is the origin"
ThreadDownloadImageData,*,field_1708_c,*,*,*,textureName,"The GL texture name associated with this image, or -1 if the texture has not been allocated"
ThreadDownloadImageData,*,field_1705_b,*,*,*,referenceCount,"Number of open references to this ThreadDownloadImageData"
AxisAlignedBB,*,field_1704_c,*,*,*,minZ,"*"
ThreadDownloadImageData,*,field_1707_d,*,*,*,textureSetupComplete,"True if the texture has been allocated and the image copied to the texture.  This is reset if global rendering settings change, so that setupTexture will be called again."
ThreadDownloadImageData,*,field_1706_a,*,*,*,image,"The image data."
AxisAlignedBB,*,field_1701_f,*,*,*,maxZ,"*"
AxisAlignedBB,*,field_1700_g,*,*,*,boundingBoxes,"List of bounding boxes (not all necessarily being actively used)"
AxisAlignedBB,*,field_1703_d,*,*,*,maxX,"*"
AxisAlignedBB,*,field_1702_e,*,*,*,maxY,"*"
World,*,field_1039_l,*,*,*,difficultySetting,"Option > Difficulty setting (0 - 3)"
World,*,field_1030_u,*,*,*,randomSeed,"Random seed for world generator"
World,*,field_1037_n,*,*,*,rand,"RNG for world."
World,*,field_1036_o,*,*,*,spawnX,"Spawn point X coordinate"
World,*,field_1034_q,*,*,*,spawnZ,"Spawn point Z coordinate"
Chunk,*,field_1525_p,*,*,*,neverSave,"Set to true if this Chunk should never be saved (e.g. in multiplayer)"
Chunk,*,field_1527_n,*,*,*,isTerrainPopulated,"Boolean value indicating if the terrain is populated."
Chunk,*,field_1526_o,*,*,*,isModified,"Set to true if the chunk has been modified and needs to be updated internally."
Chunk,*,field_1523_r,*,*,*,hasEntities,"Whether this Chunk has any Entities and thus requires saving on every tick"
Chunk,*,field_1522_s,*,*,*,lastSaveTime,"The time according to World.worldTime when this chunk was last saved"
Chunk,*,field_1529_l,*,*,*,chunkTileEntityMap,"A Map of ChunkPositions to TileEntities in this chunk"
Chunk,*,field_1528_m,*,*,*,entities,"List of lists of the entities in the chunk. It is 8 lists partitioned along the Y axis."
Entity,*,field_9283_av,*,*,*,prevPosZ,"*"
Entity,*,field_9284_au,*,*,*,prevPosY,"*"
Entity,*,field_9285_at,*,*,*,prevPosX,"*"
Entity,*,field_9286_aZ,*,*,*,stepHeight,"How high this entity can step up when running into a block to try to get over it (currently make note the entity will always step up this amount and not just the amount needed)"
Entity,*,field_9288_aU,*,*,*,fallDistance,"*"
Entity,*,field_9289_aT,*,*,*,entityWalks,"*"
Chunk,*,field_1538_c,*,*,*,isChunkLoaded,"Whether or not this Chunk is currently loaded into the World"
Chunk,*,field_1539_b,*,*,*,blocks,"Byte array of blocks for the chunk."
